year,fgco2,scenario,source
2090,18.1946852048537,ssp585,GFDL-ESM4
2091,17.811954762685676,ssp585,GFDL-ESM4
2092,18.063984985316715,ssp585,GFDL-ESM4
2093,17.96111457713717,ssp585,GFDL-ESM4
2094,17.396379391785647,ssp585,GFDL-ESM4
2095,17.288189760910768,ssp585,GFDL-ESM4
2096,17.675161266914422,ssp585,GFDL-ESM4
2097,17.510278559306826,ssp585,GFDL-ESM4
2098,17.323390117595377,ssp585,GFDL-ESM4
2099,17.546378888894036,ssp585,GFDL-ESM4
2100,16.902635846070908,ssp585,GFDL-ESM4
